ano,mes,estado,casos,mortes,temperatura,precipitacao,data_criacao,data_atualizacao
2014,Outubro,RN,0,0,22.81,62.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Outubro,RO,0,0,25.63,565.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Outubro,RR,0,0,28.12,0.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Outubro,RS,0,0,17.85,5987.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Outubro,SC,1,0,19.71,1721.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Outubro,SE,0,0,24.6,381.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Outubro,SP,1377,2,22.2,1216.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Outubro,TO,0,0,26.88,1526.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Novembro,AC,0,1,12.45,814.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Novembro,AL,1,0,24.64,192.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Novembro,AM,0,0,24.73,3320.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Novembro,AP,0,0,27.2,66.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Novembro,BA,0,0,23.3,4678.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Novembro,CE,1,2,26.49,321.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Novembro,DF,0,0,21.94,639.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Novembro,ES,0,1,22.98,1139.2,2025-07-22 22:31:01,2025-07-22 22:31:01
