Ano;Mês;UF;Precipitação Total;Temperatura Média
2015;Junho;Paraíba;840.8;23.34
2015;Julho;Paraíba;1418.8;22.94
2015;Agosto;Paraíba;197.8;24.0
2015;Setembro;Paraíba;107.8;25.2
2015;Outubro;Paraíba;59.2;25.68
2015;Novembro;Paraíba;11.4;25.39
2015;Dezembro;Paraíba;532.6;23.17
2015;Janeiro;Pernambuco;109.2;24.24
2015;Fevereiro;Pernambuco;444.2;24.3
2015;Março;Pernambuco;670.0;24.99
2015;Abril;Pernambuco;275.2;25.26
2015;Maio;Pernambuco;467.6;25.56
2015;Junho;Pernambuco;1111.4;21.48
2015;Julho;Pernambuco;1228.4;21.1
2015;Agosto;Pernambuco;363.4;23.37
2015;Setembro;Pernambuco;162.0;24.5
2015;Outubro;Pernambuco;57.6;24.7
2015;Novembro;Pernambuco;48.4;26.45
2015;Dezembro;Pernambuco;530.0;25.93
2015;Janeiro;Piauí;631.2;21.91
2015;Fevereiro;Piauí;1914.4;20.73
2015;Março;Piauí;2616.2;24.27
2015;Abril;Piauí;1814.0;23.91
2015;Maio;Piauí;589.0;23.61
2015;Junho;Piauí;142.8;24.76
2015;Julho;Piauí;109.0;27.04
2015;Agosto;Piauí;9.2;26.65
2015;Setembro;Piauí;19.8;29.61
2015;Outubro;Piauí;240.6;30.4
2015;Novembro;Piauí;625.0;30.0
2015;Dezembro;Piauí;292.0;29.58
2015;Janeiro;Rio Grande do Norte;52.6;19.07
2015;Fevereiro;Rio Grande do Norte;265.0;16.68
2015;Março;Rio Grande do Norte;1015.4;20.09
2015;Abril;Rio Grande do Norte;456.6;20.7
2015;Maio;Rio Grande do Norte;163.8;24.06
2015;Junho;Rio Grande do Norte;600.8;23.39
2015;Julho;Rio Grande do Norte;635.4;22.81
2015;Agosto;Rio Grande do Norte;58.0;23.21
2015;Setembro;Rio Grande do Norte;29.4;23.84
2015;Outubro;Rio Grande do Norte;10.2;24.12
2015;Novembro;Rio Grande do Norte;0.6;22.44
2015;Dezembro;Rio Grande do Norte;106.2;17.82
2015;Janeiro;Sergipe;77.6;26.53
2015;Fevereiro;Sergipe;262.4;26.73
2015;Março;Sergipe;244.2;23.59
2015;Abril;Sergipe;412.8;21.65
2015;Maio;Sergipe;1084.6;20.72
2015;Junho;Sergipe;824.0;23.89
2015;Julho;Sergipe;771.8;23.25
2015;Agosto;Sergipe;331.8;22.73
2015;Setembro;Sergipe;144.0;24.46
2015;Outubro;Sergipe;132.2;25.31
2015;Novembro;Sergipe;22.8;26.65
2015;Dezembro;Sergipe;99.4;26.68
2015;Janeiro;Acre;1472.8;24.54
2015;Fevereiro;Acre;1320.8;25.16
2015;Março;Acre;1316.2;22.43
2015;Abril;Acre;1068.4;21.09
2015;Maio;Acre;755.2;21.51
2015;Junho;Acre;255.0;21.12
2015;Julho;Acre;165.8;21.1
2015;Agosto;Acre;435.6;22.4
2015;Setembro;Acre;331.6;21.27
2015;Outubro;Acre;530.2;23.13
2015;Novembro;Acre;1265.8;26.32
2015;Dezembro;Acre;1564.2;25.42
2015;Janeiro;Amazonas;4732.0;23.56
2015;Fevereiro;Amazonas;3315.4;22.46
2015;Março;Amazonas;5419.6;22.77
2015;Abril;Amazonas;3657.8;22.56
2015;Maio;Amazonas;3209.0;21.72
2015;Junho;Amazonas;1704.0;22.1
2015;Julho;Amazonas;1039.0;21.42
2015;Agosto;Amazonas;418.4;23.11
2015;Setembro;Amazonas;406.6;25.07
2015;Outubro;Amazonas;1413.4;26.3
2015;Novembro;Amazonas;2134.6;26.32
2015;Dezembro;Amazonas;2395.0;26.15
2015;Janeiro;Amapá;138.6;25.92
